Frame,X,Y
683,-62,197
684,-47,203
685,-48,205
686,-52,201
687,-71,193
688,-63,185
689,-65,187
690,-80,192
691,-79,196
692,-62,203
693,-57,209
694,-50,210
695,-44,205
696,-55,195
697,-48,187
698,-55,181
699,-62,174
700,-69,169
701,-73,169
702,-73,174
703,-71,181
704,-68,187
705,-80,195
706,-64,201
707,-62,202
708,-75,198
709,-74,195
710,-75,192
711,-64,185
712,-82,193
713,-82,193
714,-67,189
715,-68,188
716,-68,188
717,-69,187
718,-68,184
719,-68,182
720,-69,184
721,-69,185
722,-68,183
723,-68,181
724,-69,183
725,-69,186
726,-70,188
727,-86,197
728,-69,207
729,-67,212
730,-67,209
731,-69,204
732,-72,200
733,-91,199
734,-95,197
735,-84,189
736,-84,188
737,-81,189
738,-78,190
739,-89,193
740,-85,196
741,-83,197
742,-82,194
743,-69,185
744,-70,178
745,-73,173
746,-77,170
747,-79,173
748,-82,182
749,-100,194
750,-100,199
751,-82,203
752,-80,202
753,-93,199
754,-93,197
755,-94,193
756,-80,189
757,-81,189
758,-78,189
759,-75,186
760,-75,188
761,-77,185
762,-78,181
763,-77,179
764,-76,176
765,-78,175
766,-80,176
767,-81,176
768,-82,176
769,-81,179
770,-78,186
771,-92,195
772,-77,201
773,-80,202
774,-82,202
775,-98,200
776,-97,200
777,-97,200
778,-98,198
779,-98,196
780,-98,197
781,-95,200
782,-75,200
783,-88,197
784,-88,193
785,-74,184
786,-74,180
787,-74,180
788,-74,176
789,-76,171
790,-80,171
791,-82,176
792,-80,184
793,-94,194
794,-95,198
795,-82,202
796,-85,202
797,-104,197
798,-104,194
799,-85,185
800,-84,186
801,-98,193
802,-96,196
803,-93,199
804,-71,202
805,-67,201
806,-80,195
807,-69,186
808,-75,178
809,-80,170
810,-84,166
811,-87,166
812,-87,170
813,-86,178
814,-84,188
815,-79,204
816,-76,210
817,-73,212
818,-73,210
819,-74,204
820,-91,196
821,-92,192
822,-77,190
823,-94,194
824,-93,194
825,-90,193
826,-70,189
827,-67,187
828,-67,187
829,-68,184
830,-70,177
831,-74,168
832,-78,168
833,-78,174
834,-77,180
835,-77,182
836,-80,186
837,-98,194
838,-95,198
839,-89,199
840,-85,197
841,-83,196
842,-83,198
843,-68,200
844,-84,197
845,-86,194
846,-73,185
847,-74,177
848,-76,173
849,-76,175
850,-74,180
851,-71,185
852,-68,187
853,-64,188
855,-61,189
856,-63,189
857,-84,194
858,-90,196
859,-92,199
860,-91,199
861,-89,197
862,-89,196
863,-89,198
864,-73,205
865,-72,206
866,-71,202
867,-85,195
868,-85,192
869,-84,193
870,-83,193
871,-65,188
872,-63,186
873,-63,187
874,-77,194
875,-75,197
876,-75,198
877,-80,194
878,-72,189
879,-76,189
880,-74,189
881,-74,186
882,-76,186
883,-92,194
884,-90,197
885,-69,200
886,-67,200
887,-80,196
888,-81,194
889,-82,194
890,-82,193
891,-66,187
892,-66,181
893,-68,175
894,-69,176
895,-69,184
896,-80,193
897,-77,194
898,-77,192
899,-65,187
900,-66,190
901,-66,189
902,-67,185
903,-70,184
904,-73,187
905,-89,197
906,-71,205
907,-68,207
908,-65,209
909,-61,209
910,-59,203
911,-74,195
912,-61,186
913,-63,185
914,-65,183
915,-69,178
916,-69,177
917,-68,182
918,-66,187
919,-80,192
920,-80,193
921,-77,194
922,-62,188
923,-63,185
924,-66,182
925,-66,186
926,-65,189
927,-77,192
928,-74,194
929,-74,196
930,-74,195
931,-73,193
932,-56,184
933,-57,177
934,-61,176
935,-66,178
936,-68,182
937,-68,184
938,-66,185
939,-64,187
940,-77,193
941,-73,196
942,-70,197
943,-72,193
944,-62,187
945,-66,185
946,-66,185
947,-65,185
948,-62,187
949,-62,189
950,-76,193
951,-74,194
952,-72,192
953,-54,188
954,-54,186
955,-57,183
956,-62,183
957,-66,185
958,-68,188
959,-68,189
960,-82,194
961,-81,197
962,-64,201
963,-62,201
964,-76,198
965,-76,197
966,-76,194
967,-75,192
968,-74,192
969,-74,194
970,-75,196
971,-74,198
972,-72,197
973,-69,194
974,-54,187
975,-57,186
976,-60,187
977,-76,195
978,-62,203
979,-62,208
980,-64,209
981,-67,210
982,-68,210
983,-66,210
984,-64,208
985,-65,204
986,-69,204
987,-72,205
988,-73,205
989,-71,203
990,-68,202
991,-65,203
992,-62,206
993,-57,206
994,-53,202
995,-63,197
996,-64,193
997,-68,193
998,-76,194
999,-84,196
1000,-92,196
1001,-96,196
1002,-95,197
1003,-92,199
1004,-73,202
1005,-71,205
1006,-69,206
1007,-67,204
1008,-64,202
1009,-62,202
